Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,17.988941548183256,0.10070517,-0.951265818993502,-0.951265818993502,1.0
24000,1.405314,18.639344262295083,-0.11904933,-0.08508196561062922,-0.08508196561062922,1.0
36000,1.3935908,15.795549374130736,-0.09954069,0.46387726683663194,0.46387726683663194,1.0
48000,1.3666795,13.0011641443539,0.035796903,0.8775320104794951,0.8775320104794951,1.0
60000,1.3371354,11.012036108324974,0.22994381,0.897800000667572,0.897800000667572,1.0
72000,1.3035997,11.025252525252526,0.36179265,1.2959636755956772,1.2959636755956772,1.0
84000,1.2712553,10.610414657666345,0.542737,1.5385728080684218,1.5385728080684218,1.0
96000,1.2428144,10.865805168986084,0.71744514,1.7570009977957224,1.7570009977957224,1.0
108000,1.2105627,10.36337760910816,0.87149435,1.925284094261852,1.925284094261852,1.0
120000,1.1787267,9.54625550660793,1.0015736,1.8865435416486669,1.8865435416486669,1.0
132000,1.1458102,10.327341532639545,1.055835,2.029801331100987,2.029801331100987,1.0
144000,1.1150211,10.944223107569721,1.1509254,2.364278613631405,2.364278613631405,1.0
156000,1.0915262,10.794493608652902,1.241904,2.350392164377605,2.350392164377605,1.0
168000,1.0590523,12.108196721311476,1.3841935,2.7342076545204623,2.7342076545204623,1.0
180000,1.0354667,11.720042417815483,1.4502146,2.611864408257149,2.611864408257149,1.0
192000,1.0088336,11.864661654135338,1.4548105,2.7062231791505487,2.7062231791505487,1.0
204000,0.98600566,14.259212198221093,1.5104648,3.0285171199736336,3.0285171199736336,1.0
216000,0.9695361,12.727064220183486,1.5615453,2.899885331408693,2.899885331408693,1.0
228000,0.9448804,15.460732984293193,1.6812698,3.3460835555359214,3.3460835555359214,1.0
240000,0.9243991,14.210106382978724,1.746181,3.2970783653487246,3.2970783653487246,1.0
252000,0.90518725,14.305732484076433,1.8177207,3.6456632760106302,3.6456632760106302,1.0
264000,0.88566965,15.039473684210526,1.9037819,3.891094898133382,3.891094898133382,1.0
276000,0.86973894,14.88150289017341,1.9496729,3.8167147015460285,3.8167147015460285,1.0
288000,0.85153854,19.3730407523511,1.9637321,3.9819749320936055,3.9819749320936055,1.0
300000,0.84002006,19.511380880121397,2.0873017,3.974810324869315,3.974810324869315,1.0
312000,0.8232681,15.60952380952381,2.1817899,4.048730170821386,4.048730170821386,1.0
324000,0.81010485,18.88888888888889,2.2698348,4.54288080384005,4.54288080384005,1.0
336000,0.7963136,21.216666666666665,2.303823,4.315157129341485,4.315157129341485,1.0
348000,0.7867043,17.396024464831804,2.4169621,4.574846644343043,4.574846644343043,1.0
360000,0.7773123,17.23744292237443,2.373107,4.331562993197231,4.331562993197231,1.0
372000,0.765741,19.857391304347825,2.4248085,4.404695660860642,4.404695660860642,1.0
384000,0.7561801,17.781954887218046,2.534984,4.714044955116086,4.714044955116086,1.0
396000,0.74637926,22.406382978723403,2.5611315,4.939361708595397,4.939361708595397,1.0
408000,0.7398151,34.659033078880405,2.6760826,5.114249363807018,5.114249363807018,1.0
420000,0.73523134,23.681614349775785,2.6902397,4.843146072612719,4.843146072612719,1.0
432000,0.7304666,29.06045340050378,2.6399784,5.345249997377396,5.345249997377396,1.0
444000,0.7250333,27.64756446991404,2.6174722,5.338571430785316,5.338571430785316,1.0
456000,0.7208058,30.32511210762332,2.6389961,4.981208050944394,4.981208050944394,1.0
468000,0.7181729,26.518703241895263,2.817124,5.286284295921017,5.286284295921017,1.0
480000,0.7151364,31.213399503722083,2.861674,5.628535997483038,5.628535997483038,1.0
492000,0.7130521,24.383858267716537,2.8971038,5.288823528032677,5.288823528032677,1.0
